X,Y,BUSINESS,NAME,ADDRESS,COLLECTOR,DATE,EPSG,SCALE,NOTES
-8579255.33,4709870.3,Trader Joes,Washington Glover Park,2101 Wisconsin Ave NW Washington DC 20007 US,OLNESS Jonathan,20250530,3857,1:2500,
-8581028.87,4716014.59,Trader Joes,Washington Friendship Heights,5335 Wisconsin Ave NW  Washington DC 20015 US,OLNESS Jonathan,20250530,3857,1:2500,TBC 20250630
-8575187.36,4709661.28,Trader Joes,Washington 14th Street,1914 14th St NW Washington DC 20009 US,OLNESS Jonathan,20250530,3857,1:2500,
-8577515.04,4707955.38,Trader Joes,Washington 25th Street,1101 25th Street NW Washington DC 20037 US,OLNESS Jonathan,20250530,3857,1:2500,
-8571143.87,4711959.19,Trader Joes,Washington Brookland,701 Monroe St NE Washington DC 20017 US,OLNESS Jonathan,20250530,3857,1:2500,
-8571097.57,4705173.95,Trader Joes,Washington Capitol Hill,750 Pennsylvania Ave SE Washington DC 20003 US,OLNESS Jonathan,20250530,3857,1:2500,
-8571666.09,4708423.03,Trader Joes,Washington Union Market,350 Florida Ave. NE Washington DC 20002 US,OLNESS Jonathan,20250530,3857,1:2500,
-8576590.65,4694611.12,Trader Joes,Virginia Alexandria,612 N Saint Asaph St Alexandria VA 22314 US,OLNESS Jonathan,20250530,3857,1:2500,
-8582145.57,4705457.71,Trader Joes,Virginia Arlington Clarendon,1109 N Highland St Arlington VA 22201 US,OLNESS Jonathan,20250530,3857,1:2500,
-8622016.96,4728879.95,Trader Joes,Virginia Ashburn ,44755 Brimfield Dr Ashburn VA 20147 US,OLNESS Jonathan,20250530,3857,1:2500,
-8586377.58,4700310.24,Trader Joes,Virginia Baileys Crossroads,5847 Leesburg Pike Bailey's Crossroads VA 22041 US,OLNESS Jonathan,20250530,3857,1:2500,
-8619775.44,4698816.18,Trader Joes,Virginia Centreville,14100 Lee Hwy Centreville VA 20120 US,OLNESS Jonathan,20250530,3857,1:2500,
-8737628.8,4588331.14,Trader Joes,Virginia Charlottesville,2025 Bond St Charlottesville VA 22901 US,OLNESS Jonathan,20250530,3857,1:2500,
-8601693.82,4699146.57,Trader Joes,Virginia Fairfax,9464 Main St Fairfax VA 22031 US,OLNESS Jonathan,20250530,3857,1:2500,
-8594294.41,4707991.26,Trader Joes,Virginia Falls Church,7514 Leesburg Turnpike Falls Church VA 22043 US,OLNESS Jonathan,20250530,3857,1:2500,
-8639189.58,4529960.41,Trader Joes,Virginia Richmond Short Pump,11331 W Broad St Glen Allen VA 23060 US,OLNESS Jonathan,20250530,3857,1:2500,
-8630658.09,4737136.44,Trader Joes,Virginia Leesburg,504 Fort Evans Rd NE Leesburg VA 20176 US,OLNESS Jonathan,20250530,3857,1:2500,
-8517902.09,4456959.39,Trader Joes,Virginia Newport News,12551 Jefferson Ave Newport News VA 23602 US,OLNESS Jonathan,20250530,3857,1:2500,
-8611567.9,4716978.66,Trader Joes,Virginia Reston,11958 Killingsworth Ave Reston VA 20194 US,OLNESS Jonathan,20250530,3857,1:2500,
-8634412.03,4514467.24,Trader Joes,Virginia Richmond,3000 Stony Point Rd Richmond VA 23235 US,OLNESS Jonathan,20250530,3857,1:2500,
-8592666.73,4690433.68,Trader Joes,Virginia Springfield,6394 Springfield Plaza Springfield VA 22150 US,OLNESS Jonathan,20250530,3857,1:2500,
-8463039.42,4418038.52,Trader Joes,Virginia Virginia Beach,503 Hilltop Plaza Virginia Beach VA 23454 US,OLNESS Jonathan,20250530,3857,1:2500,
-8597734.66,4690217.88,Trader Joes,Virginia West Springfield,8402 Old Keene Mill Rd West Springfield VA 22152 US,OLNESS Jonathan,20250530,3857,1:2500,UNLISTED 20250530
-8543518.39,4477802.03,Trader Joes,Virginia Williamsburg,5000 Settlers Market Blvd Williamsburg VA 23188 US,OLNESS Jonathan,20250530,3857,1:2500,
-8520386.16,4720114.89,Trader Joes,Maryland Annapolis,160 F Jennifer Rd Annapolis MD 21401 US,OLNESS Jonathan,20250530,3857,1:2500,
-8581684.24,4718550.32,Trader Joes,Maryland Bethesda,6831 Wisconsin Ave Bethesda MD 20815 US,OLNESS Jonathan,20250530,3857,1:2500,
-8582261.03,4720238.36,Trader Joes,Maryland Downtown Bethesda,7900 Wisconsin Ave Bethesda MD 20814 US,OLNESS Jonathan,20250530,3857,1:2500,
-8564721.31,4718533.37,Trader Joes,Maryland College Park,4429 Calvert Road College Park MD 20740 US,OLNESS Jonathan,20250530,3857,1:2500,
-8548853.58,4748675.37,Trader Joes,Maryland Columbia,6610 Marie Curie Dr Elkridge MD 21075 US,OLNESS Jonathan,20250530,3857,1:2500,
-8542187.41,4777383.32,Trader Joes,Maryland Pikesville,1809 Reisterstown Rd Pikesville MD 21208 US,OLNESS Jonathan,20250530,3857,1:2500,
-8594620.88,4735504.74,Trader Joes,Maryland North Potomac,10076 Darnestown Rd Rockville MD 20850 US,OLNESS Jonathan,20250530,3857,1:2500,
-8585324.31,4729856.67,Trader Joes,Maryland Rockville,12268-H Rockville Pike Rockville MD 20852 US,OLNESS Jonathan,20250530,3857,1:2500,
-8588591.25,4734087.19,Trader Joes,Maryland Rockville Town Square,225 N Washington St Rockville MD 20850 US,OLNESS Jonathan,20250530,3857,1:2500,TBC 20250630
-8572002.54,4726174.83,Trader Joes,Maryland Silver Spring,10741 Columbia Pike Silver Spring MD 20901 US,OLNESS Jonathan,20250530,3857,1:2500,
-8529204.86,4780755.39,Trader Joes,Maryland Towson,800 Kenilworth Drive Towson MD 21204 US,OLNESS Jonathan,20250530,3857,1:2500,
